datetime,PM1,PM10,PM2.5,TSP
2018-12-31T19:12:48,32.1,,,
2018-12-31T19:22:48,31.3,,,
2018-12-31T19:42:48,35.3,,,
2018-12-31T20:22:48,26.1,,,
2018-12-31T21:12:48,29.5,,,
2018-12-31T21:22:48,28.1,,,
2018-12-31T22:03:48,29.1,,,
2018-12-31T22:22:48,32.9,,,
2018-12-31T23:02:48,32.6,,,
2018-12-31T23:32:48,33.4,,,
2019-01-01T00:02:46,29.0,,,
2019-01-01T00:32:46,33.8,,,
2019-01-01T00:52:46,39.9,,,
2019-01-01T01:22:46,37.3,,,
2019-01-01T01:52:46,44.8,,,
2019-01-01T02:32:46,47.7,,,
2019-01-01T03:12:46,52.1,,,
2019-01-01T03:22:46,48.0,,,
2019-01-01T03:52:46,66.0,,,
2019-01-01T04:22:46,66.6,,,
2019-01-01T04:52:46,65.3,,,
2019-01-01T05:22:46,62.0,,,
2019-01-01T05:52:46,56.0,,,
2019-01-01T06:22:46,23.7,,,
2019-01-01T07:02:46,16.5,,,
2019-01-01T07:22:46,11.9,,,
2019-01-01T07:42:46,7.9,,,
2019-01-01T08:42:46,15.3,,,
2019-01-01T08:52:46,18.5,,,
2019-01-01T09:22:46,16.0,,,
2019-01-01T10:02:46,19.2,,,
2019-01-01T10:22:46,14.9,,,
2019-01-01T11:02:46,16.2,,,
2019-01-01T11:22:46,13.7,,,
2019-01-01T11:47:46,14.1,,,
2019-01-01T12:42:46,19.2,,,
2019-01-01T13:02:46,18.7,,,
2019-01-01T13:22:46,20.0,,,
2019-01-01T14:02:46,23.1,,,
2019-01-01T14:22:46,22.8,,,
2019-01-01T15:12:46,24.7,,,
2019-01-01T15:42:46,26.8,,,
2019-01-01T16:12:46,24.4,,,
2019-01-01T16:22:46,22.0,,,
2019-01-01T16:52:46,24.8,,,
2019-01-01T17:22:46,21.3,,,
2019-01-01T18:02:46,25.5,,,
2019-01-01T18:22:46,27.5,,,
2019-01-01T19:02:46,27.2,,,
2019-01-01T19:52:46,33.0,,,
2019-01-01T20:42:46,26.7,,,
2019-01-01T20:52:46,26.2,,,
2019-01-01T21:22:46,29.0,,,
2019-01-01T22:12:46,29.3,,,
2019-01-01T22:22:46,29.5,,,
2019-01-01T22:52:46,33.4,,,
2019-01-01T23:12:46,33.7,,,
2019-01-01T23:52:46,31.7,,,
2019-01-02T00:22:46,33.1,,,
2019-01-02T00:52:46,37.2,,,
2019-01-02T01:22:46,40.7,,,
2019-01-02T02:02:46,45.9,,,
2019-01-02T02:22:46,35.4,,,
2019-01-02T03:02:46,44.2,,,
2019-01-02T03:22:46,46.4,,,
2019-01-02T04:02:46,50.5,,,
2019-01-02T04:22:46,62.2,,,
2019-01-02T05:02:46,40.2,,,
2019-01-02T05:22:46,39.7,,,
2019-01-02T06:12:44,14.0,,,
2019-01-02T06:42:44,15.6,,,
2019-01-02T06:52:44,14.3,,,
2019-01-02T07:12:44,12.1,,,
2019-01-02T07:52:44,6.2,,,
2019-01-02T08:32:44,16.3,,,
2019-01-02T09:22:44,12.3,,,
2019-01-02T09:32:44,12.5,,,
2019-01-02T10:12:44,15.6,,,
2019-01-02T10:22:44,14.6,,,
2019-01-02T10:42:44,16.0,,,
2019-01-02T11:32:44,14.7,,,
2019-01-02T11:47:44,20.4,,,
2019-01-02T12:32:44,18.7,,,
2019-01-02T13:02:44,25.5,,,
2019-01-02T13:22:44,20.2,,,
2019-01-02T13:52:44,22.9,,,
2019-01-02T14:22:44,16.8,,,
2019-01-02T14:52:44,17.4,,,
2019-01-02T15:32:44,15.8,,,
2019-01-02T16:02:44,15.4,,,
2019-01-02T16:22:44,14.1,,,
2019-01-02T16:52:44,17.5,,,
2019-01-02T17:42:44,16.4,,,
2019-01-02T17:52:44,22.1,,,
2019-01-02T18:22:44,23.7,,,
2019-01-02T18:52:44,19.2,,,
2019-01-02T19:42:44,21.7,,,
2019-01-02T20:02:44,24.1,,,
2019-01-02T20:22:44,28.7,,,
2019-01-02T20:52:44,24.6,,,
2019-01-02T21:32:44,33.6,,,
2019-01-02T21:52:44,32.2,,,
2019-01-02T22:32:44,27.6,,,
2019-01-02T22:52:44,27.9,,,
2019-01-02T23:12:44,28.1,,,
2019-01-02T23:47:44,31.4,,,
2019-01-03T01:02:44,37.5,,,
2019-01-03T01:22:44,62.3,,,
2019-01-03T01:52:44,40.9,,,
2019-01-03T02:22:44,34.3,,,
2019-01-03T02:52:44,46.7,,,
2019-01-03T03:22:44,16.5,,,
2019-01-03T04:02:44,47.1,,,
2019-01-03T04:22:44,45.5,,,
2019-01-03T04:52:44,27.8,,,
2019-01-03T05:22:44,29.5,,,
2019-01-03T06:02:42,23.1,,,
2019-01-03T06:22:42,8.2,,,
2019-01-03T07:02:42,5.8,,,
2019-01-03T07:32:42,8.9,,,
2019-01-03T08:02:42,13.3,,,
2019-01-03T08:22:42,26.5,,,
2019-01-03T09:02:42,11.0,,,
2019-01-03T09:32:42,11.4,,,
2019-01-03T10:02:42,11.1,,,
2019-01-03T11:23:42,11.5,,,
2019-01-03T12:22:42,14.9,,,
2019-01-03T12:32:42,15.7,,,
2019-01-03T13:02:42,31.3,,,
2019-01-03T13:22:42,20.4,,,
2019-01-03T13:42:42,24.6,,,
2019-01-03T14:22:42,25.0,,,
2019-01-03T14:52:42,21.5,,,
2019-01-03T15:22:42,23.1,,,
2019-01-03T16:02:42,19.3,,,
2019-01-03T16:32:42,20.4,,,
2019-01-03T16:52:42,21.5,,,
2019-01-03T17:22:42,21.2,,,
2019-01-03T18:03:40,24.7,,,
2019-01-03T19:03:40,30.6,,,
2019-01-03T19:33:40,27.7,,,
2019-01-03T19:53:40,22.7,,,
2019-01-03T20:23:40,25.1,,,
2019-01-03T21:12:40,26.2,,,
2019-01-03T21:43:40,29.0,,,
2019-01-03T22:03:40,23.9,,,
2019-01-03T22:33:40,28.6,,,
2019-01-03T23:03:40,25.6,,,
2019-01-03T23:33:40,27.5,,,
2019-01-03T23:48:40,29.0,,,
2019-01-04T00:23:40,31.6,,,
2019-01-04T00:53:40,31.4,,,
