"Time (NPT)","PM2.5"
"2024-05-01 00:00:00",83.28
"2024-05-01 01:00:00",99.027
"2024-05-01 02:00:00",107.038
"2024-05-01 03:00:00",109.838
"2024-05-01 04:00:00",107.382
"2024-05-01 05:00:00",100.267
"2024-05-01 06:00:00",102.417
"2024-05-01 07:00:00",123.353
"2024-05-01 08:00:00",101.53
"2024-05-01 09:00:00",74.522
"2024-05-01 10:00:00",49.732
"2024-05-01 11:00:00",32.683
"2024-05-01 12:00:00",25.17
"2024-05-01 13:00:00",25.677
"2024-05-01 14:00:00",24.687
"2024-05-01 15:00:00",20.783
"2024-05-01 16:00:00",18.977
"2024-05-01 17:00:00",16.962
"2024-05-01 18:00:00",14.818
"2024-05-01 19:00:00",14.313
"2024-05-01 20:00:00",23.407
"2024-05-01 21:00:00",29.014
"2024-05-01 22:00:00",37.312
"2024-05-01 23:00:00",41.423
"2024-05-02 00:00:00",42.707
"2024-05-02 01:00:00",45.032
"2024-05-02 02:00:00",51.757
"2024-05-02 03:00:00",55.705
"2024-05-02 04:00:00",60.652
"2024-05-02 05:00:00",59.447
"2024-05-02 06:00:00",71.635
"2024-05-02 07:00:00",91.553
"2024-05-02 08:00:00",77.058
"2024-05-02 09:00:00",49.172
"2024-05-02 10:00:00",18.055
"2024-05-02 11:00:00",12.02
"2024-05-02 12:00:00",15.44
"2024-05-02 13:00:00",18.482
"2024-05-02 14:00:00",18.828
"2024-05-02 15:00:00",18.38
"2024-05-02 16:00:00",21.2
"2024-05-02 17:00:00",28.197
"2024-05-02 18:00:00",31.947
"2024-05-02 19:00:00",40.665
"2024-05-02 20:00:00",58.983
"2024-05-02 21:00:00",66.203
"2024-05-02 22:00:00",66.188
"2024-05-02 23:00:00",60.798
"2024-05-03 00:00:00",66.143
"2024-05-03 01:00:00",67.433
"2024-05-03 02:00:00",68.42
"2024-05-03 03:00:00",73.838
"2024-05-03 04:00:00",79.63
"2024-05-03 05:00:00",85.585
"2024-05-03 06:00:00",97.74
"2024-05-03 07:00:00",124.532
"2024-05-03 08:00:00",126.303
"2024-05-03 09:00:00",97.83
"2024-05-03 10:00:00",80.915
"2024-05-03 11:00:00",60.097
"2024-05-03 12:00:00",51.587
"2024-05-03 13:00:00",53.032
"2024-05-03 14:00:00",61.528
"2024-05-03 15:00:00",67.435
"2024-05-03 16:00:00",64.48
"2024-05-03 17:00:00",61.368
"2024-05-03 18:00:00",62.315
"2024-05-03 19:00:00",60.125
"2024-05-03 20:00:00",72.22
"2024-05-03 21:00:00",84.9
"2024-05-03 22:00:00",106.025
"2024-05-03 23:00:00",104.802
"2024-05-04 00:00:00",106.898
"2024-05-04 01:00:00",111.91
"2024-05-04 02:00:00",113.958
"2024-05-04 03:00:00",113.835
"2024-05-04 04:00:00",114.98
"2024-05-04 05:00:00",123.853
"2024-05-04 06:00:00",131.033
"2024-05-04 07:00:00",150.52
"2024-05-04 08:00:00",139.873
"2024-05-04 09:00:00",96.053
"2024-05-04 10:00:00",74.793
"2024-05-04 11:00:00",59.533
"2024-05-04 12:00:00",53.878
"2024-05-04 13:00:00",49.705
"2024-05-04 14:00:00",44.697
"2024-05-04 15:00:00",42.375
"2024-05-04 16:00:00",43.523
"2024-05-04 17:00:00",45.823
"2024-05-04 18:00:00",45.847
"2024-05-04 19:00:00",55.785
"2024-05-04 20:00:00",55.967
"2024-05-04 21:00:00",64.928
"2024-05-04 22:00:00",72.715
"2024-05-04 23:00:00",78.153
"2024-05-05 00:00:00",86.793
"2024-05-05 01:00:00",88.858
"2024-05-05 02:00:00",92.327
"2024-05-05 03:00:00",94.77
"2024-05-05 04:00:00",97.167
"2024-05-05 05:00:00",99.148
"2024-05-05 06:00:00",100.122
"2024-05-05 07:00:00",121.412
"2024-05-05 08:00:00",110.483
"2024-05-05 09:00:00",76.22
"2024-05-05 10:00:00",55.35
"2024-05-05 11:00:00",42.253
"2024-05-05 12:00:00",37.872
"2024-05-05 13:00:00",37.125
"2024-05-05 14:00:00",38.257
"2024-05-05 15:00:00",38.757
"2024-05-05 16:00:00",39.833
"2024-05-05 17:00:00",44.64
"2024-05-05 18:00:00",50.015
"2024-05-05 19:00:00",63.132
"2024-05-05 20:00:00",51.108
"2024-05-05 21:00:00",47.137
"2024-05-05 22:00:00",54.842
"2024-05-05 23:00:00",60.713
"2024-05-06 00:00:00",63.828
"2024-05-06 01:00:00",65.255
"2024-05-06 02:00:00",68.718
"2024-05-06 03:00:00",78.222
"2024-05-06 04:00:00",80.202
"2024-05-06 05:00:00",87.028
"2024-05-06 06:00:00",94.405
"2024-05-06 07:00:00",104.813
"2024-05-06 08:00:00",90.765
"2024-05-06 09:00:00",104.245
"2024-05-06 10:00:00",92.788
"2024-05-06 11:00:00",84.528
"2024-05-06 12:00:00",68.973
"2024-05-06 13:00:00",59.45
"2024-05-06 14:00:00",55.657
"2024-05-06 15:00:00",57.495
"2024-05-06 16:00:00",57.033
"2024-05-06 17:00:00",64.067
"2024-05-06 18:00:00",67.502
"2024-05-06 19:00:00",85.553
"2024-05-06 20:00:00",26.22
"2024-05-06 21:00:00",18.402
"2024-05-06 22:00:00",19.787
"2024-05-06 23:00:00",22.737
"2024-05-07 00:00:00",22.27
"2024-05-07 01:00:00",22.208
"2024-05-07 02:00:00",29.217
"2024-05-07 03:00:00",29.61
"2024-05-07 04:00:00",34.74
"2024-05-07 05:00:00",35.528
"2024-05-07 06:00:00",50.57
"2024-05-07 07:00:00",185.053
"2024-05-07 08:00:00",102.592
"2024-05-07 09:00:00",66.655
"2024-05-07 10:00:00",42.435
"2024-05-07 11:00:00",33.002
"2024-05-07 12:00:00",41.443
"2024-05-07 13:00:00",46.472
"2024-05-07 14:00:00",46.83
"2024-05-07 15:00:00",37.74
"2024-05-07 16:00:00",50.822
"2024-05-07 17:00:00",53.543
"2024-05-07 18:00:00",29.685
"2024-05-07 19:00:00",18.117
"2024-05-07 20:00:00",14.162
"2024-05-07 21:00:00",19.42
"2024-05-07 22:00:00",31.823
"2024-05-07 23:00:00",29.232
