date, pm25, pm10
2023/2/8, 159, 
2023/2/12, 149, 112
2023/2/13, 159, 109
2023/2/14, 161, 113
2023/2/15, 151, 112
2023/2/16, 155, 126
2023/2/17, 163, 105
2023/2/18, 162, 106
2023/2/19, 161, 106
2023/2/20, 163, 112
2023/2/21, 174, 90
2023/2/22, 129, 43
2023/2/23, 79, 91
2023/2/24, 145, 71
2023/2/25, 98, 84
2023/2/26, 69, 55
2023/2/27, 96, 86
2023/2/28, 148, 57
2023/3/1, 107, 99
2023/3/2, 171, 83
2023/3/3, 171, 87
2023/3/4, 175, 79
2023/3/5, 162, 74
2023/3/6, 164, 78
2023/3/7, 157, 84
2023/3/8, 175, 76
2023/3/9, 158, 76
2023/3/10, 152, 75
2023/3/11, 158, 80
2023/3/12, 167, 89
2023/3/13, 178, 75
2023/3/14, 165, 
2022/5/5, 59, 49
2022/5/6, 90, 11
2022/5/7, 39, 13
2022/5/8, 42, 21
2022/5/9, 60, 28
2022/5/10, 73, 15
2022/5/11, 48, 21
2022/5/12, 62, 26
2022/5/13, 72, 28
2022/5/14, 75, 38
2022/5/15, 95, 38
2022/5/16, 94, 52
2022/5/17, 81, 51
2022/5/18, 93, 40
2022/5/19, 79, 29
2022/5/20, 76, 39
2022/5/21, 79, 32
2022/5/22, 78, 
2021/10/1, 64, 22
2021/10/2, 55, 26
2021/10/3, 54, 
2021/10/30, 74, 33
2021/10/31, 85, 31
2021/11/1, 82, 39
2021/11/2, 97, 36
2021/11/3, 92, 33
2021/11/4, 85, 29
2021/11/5, 82, 25
2021/11/6, 71, 23
2021/11/7, 66, 25
2021/11/8, 67, 23
2021/11/9, 64, 29
2021/11/10, 75, 26
2021/11/11, 65, 24
2021/11/12, 64, 23
2021/11/13, 64, 22
2021/11/14, 57, 16
2021/11/15, 48, 13
2021/11/16, 42, 12
2021/11/17, 39, 11
2021/11/18, 45, 16
2021/11/19, 54, 14
2021/11/20, 46, 14
2021/11/21, 40, 11
2021/11/22, 39, 16
2021/11/23, 59, 18
2021/11/24, 63, 21
2021/11/25, 67, 19
2021/11/26, 64, 17
2021/11/27, 59, 16
2021/11/28, 53, 16
2021/11/29, 52, 13
2021/11/30, 43, 13
2021/12/1, 41, 13
2021/12/2, 34, 10
2021/12/3, 33, 8
2021/12/4, 31, 7
2021/12/5, 24, 11
2021/12/6, 34, 13
2021/12/7, 39, 25
2021/12/8, 63, 23
2021/12/9, 63, 23
2021/12/10, 64, 30
2021/12/11, 80, 41
2021/12/12, 103, 
2021/7/1, 81, 14
2021/7/2, 51, 14
2021/7/3, 47, 25
2021/7/4, 63, 19
2021/7/5, 54, 19
2021/7/6, 53, 26
2021/7/7, 65, 14
2021/7/8, 46, 11
2021/7/9, 35, 15
2021/7/10, 45, 12
2021/7/11, 39, 17
2021/7/12, 50, 14
2021/7/13, 39, 12
2021/7/14, 38, 10
2021/7/15, 36, 
2021/7/20, 58, 13
2021/7/21, 45, 15
2021/7/22, 44, 13
2021/7/23, 35, 11
2021/7/24, 31, 13
2021/7/25, 34, 15
2021/7/26, 53, 14
2021/7/27, 44, 11
2021/7/28, 28, 13
2021/7/29, 31, 11
2021/7/30, 33, 8
2021/7/31, 23, 12
2021/8/1, 31, 9
2021/8/2, 30, 5
2021/8/3, 32, 5
2021/8/4, 44, 7
2021/8/5, 50, 9
2021/8/6, 58, 12
2021/8/7, 52, 6
2021/8/8, 40, 6
2021/8/9, 43, 7
2021/8/10, 49, 8
2021/8/11, 56, 10
2021/8/12, 51, 9
2021/8/13, 46, 4
2021/8/14, 40, 4
2021/8/15, 26, 8
2021/8/16, 50, 8
