date,pm25,pm10
5/1/2024,104,49
5/2/2024,102,55
5/3/2024,131,48
5/4/2024,120,53
5/5/2024,114,51
5/6/2024,109,24
5/7/2024,75,24
5/8/2024,76, 
4/1/2024,70,41
4/2/2024,107,47
4/3/2024,126,45
4/4/2024,115,45
4/5/2024,117,44
4/6/2024,113,46
4/7/2024,120,47
4/8/2024,116,56
4/9/2024,142,58
4/10/2024,137,48
4/11/2024,131,43
4/12/2024,120,45
4/13/2024,125,38
4/14/2024,106,39
4/15/2024,107,41
4/16/2024,112,37
4/17/2024,87,38
4/18/2024,100,48
4/19/2024,111,63
4/20/2024,90,45
4/21/2024,89,45
4/22/2024,96,30
4/23/2024,72,42
4/24/2024,89,44
4/25/2024,106,52
4/26/2024,125,50
4/27/2024,114,44
4/28/2024,89,44
4/29/2024,96,46
4/30/2024,100,52
1/1/2024,125,39
1/2/2024,106,43
1/3/2024,119,51
1/4/2024,117,43
1/5/2024,119,43
1/6/2024,117,50
1/7/2024,133,49
1/8/2024,131,52
1/9/2024,137,43
1/10/2024,116,38
1/11/2024,107,50
1/12/2024,134,49
1/13/2024,132,39
1/14/2024,110,36
1/15/2024,102,31
1/16/2024,92,32
1/17/2024,95,40
1/18/2024,112,43
1/19/2024,124,50
1/20/2024,136,45
1/21/2024,124,44
1/22/2024,119,43
1/23/2024,118,41
1/24/2024,115,45
1/25/2024,124,47
1/26/2024,129,46
1/27/2024,119,50
1/28/2024,134,50
1/29/2024,132,56
1/30/2024,149,57
1/31/2024,152,55
2/1/2024,152,35
2/2/2024,103,36
2/3/2024,105,50
2/4/2024,141,50
2/5/2024,130,37
2/6/2024,109,43
2/7/2024,115,46
2/8/2024,125,49
2/9/2024,139,50
2/10/2024,134,43
2/11/2024,115,45
2/12/2024,118,50
2/13/2024,125,64
2/14/2024,151,53
2/15/2024,131,51
2/16/2024,128,54
2/17/2024,139,52
2/18/2024,132,60
2/19/2024,151,57
2/20/2024,135,46
2/21/2024,112,37
2/22/2024,95,31
2/23/2024,86,39
2/24/2024,107,42
2/25/2024,103,45
2/26/2024,112,49
2/27/2024,116,48
2/28/2024,121,50
2/29/2024,122,50
3/1/2024,133,51
3/2/2024,135,32
3/3/2024,97,22
3/4/2024,67,28
3/5/2024,70,32
3/6/2024,79,42
3/7/2024,107, 
3/10/2024,124,51
3/11/2024,133,46
3/12/2024,120,39
3/13/2024,98,39
3/14/2024,96,36
3/15/2024,88,40
3/16/2024,96,41
3/17/2024,102,50
3/18/2024,128,51
3/19/2024,128,46
3/20/2024,131,48
3/21/2024,137,33
3/22/2024,96,24
3/23/2024,79,38
3/24/2024,112,33
3/25/2024,96,32
3/26/2024,96,38
3/27/2024,113,26
3/28/2024,83,31
3/29/2024,91,26
3/30/2024,81,22
3/31/2024,65,26
10/1/2023,68,14
10/2/2023,53,11
10/3/2023,41,9
10/4/2023,39,7
10/5/2023,26,7
10/6/2023,26,11
10/7/2023,41,23
10/8/2023,69,37
10/9/2023,103,46
10/10/2023,123,37
10/11/2023,99,40
10/12/2023,104,41
10/13/2023,103,37
10/14/2023,98,35
10/15/2023,93,41
10/16/2023,108,26
10/17/2023,74,27
10/18/2023,74,30
10/19/2023,80,28
10/20/2023,78,23
10/21/2023,69,28
10/22/2023,80,25
10/23/2023,72,21
10/24/2023,66,20
10/25/2023,62,20
10/26/2023,61,22
10/27/2023,67,26
10/28/2023,74,33
10/29/2023,85,36
10/30/2023,96,32
10/31/2023,85,36
11/1/2023,95,31
11/2/2023,85,29
11/3/2023,81,32
11/4/2023,89,45
11/5/2023,120,52
11/6/2023,140,44
11/7/2023,119,37
11/8/2023,103,36
11/9/2023,97,49
11/10/2023,130,53
11/11/2023,138,41
11/12/2023,114,40
11/13/2023,112,35
11/14/2023,99,27
11/15/2023,82,26
11/16/2023,77,29
11/17/2023,82,21
11/18/2023,62,27
11/19/2023,78,28
11/20/2023,82,34
11/21/2023,92,31
11/22/2023,89,38
11/23/2023,103,39
11/24/2023,105,37
11/25/2023,102,38
11/26/2023,101,37
11/27/2023,99,37
11/28/2023,101,34
11/29/2023,96,47
11/30/2023,125,38
12/1/2023,106,33
12/2/2023,90,39
12/3/2023,100,52
12/4/2023,124,46
12/5/2023,117,42
12/6/2023,113,61
12/7/2023,149,52
12/8/2023,132,40
12/9/2023,110,39
12/10/2023,106,40
12/11/2023,110,39
12/12/2023,108,36
12/13/2023,100,45
12/14/2023,124,53
12/15/2023,139,47
12/16/2023,128,44
12/17/2023,119,41
12/18/2023,111,40
12/19/2023,109,50
12/20/2023,128,52
12/21/2023,130,45
12/22/2023,119,50
12/23/2023,128,47
12/24/2023,125,43
12/25/2023,114,48
12/26/2023,128,43
12/27/2023,115,34
12/28/2023,95,38
12/29/2023,106,45
12/30/2023,119,49
12/31/2023,135,44
7/5/2023,30,12
7/6/2023,36,11
7/7/2023,32,10
7/8/2023,26,10
7/9/2023,30,13
7/10/2023,42,16
7/11/2023,51,16
7/12/2023,55,11
7/13/2023,38,15
7/14/2023,50,10
7/15/2023,36,10
7/16/2023,37,6
7/17/2023,22,8
7/18/2023,27,10
7/19/2023,34,15
7/20/2023,48,12
7/21/2023,43,9
7/22/2023,33,8
7/23/2023,32,13
7/24/2023,42,9
7/25/2023,33,14
7/26/2023,41,13
7/27/2023,43,13
7/28/2023,37,8
7/29/2023,27,13
7/30/2023,40,16
7/31/2023,42,8
8/1/2023,25,11
8/2/2023,31,12
8/3/2023,34,11
8/4/2023,31,12
8/5/2023,38,14
8/6/2023,50,10
8/7/2023,36,9
8/8/2023,31,17
8/9/2023,47,8
8/10/2023,24,16
8/11/2023,45,8
8/12/2023,30,9
8/13/2023,35,23
8/14/2023,61,25
8/15/2023,58,19
8/16/2023,51,19
8/17/2023,46,16
8/18/2023,43,12
8/19/2023,37,11
8/20/2023,34,12
8/21/2023,45,9
8/22/2023,31,10
8/23/2023,38,9
8/24/2023,34,5
8/25/2023,21,8
8/26/2023,27,17
8/27/2023,44,30
8/28/2023,57,22
8/29/2023,57,25
8/30/2023,60,20
8/31/2023,57,21
9/1/2023,56,22
9/2/2023,60,16
9/3/2023,46,11
9/4/2023,29,21
9/5/2023,51,19
9/6/2023,51,10
9/7/2023,34,11
9/8/2023,36,7
9/9/2023,25,9
9/10/2023,30,13
9/11/2023,43,15
9/12/2023,57,14
9/13/2023,49,11
9/14/2023,39,12
9/15/2023,40,13
9/16/2023,44,14
9/17/2023,46,11
9/18/2023,42, 
9/22/2023,40,12
9/23/2023,44,6
9/24/2023,23,11
9/25/2023,36,16
9/26/2023,51,15
9/27/2023,48,20
9/28/2023,61,23
9/29/2023,65,26
9/30/2023,73,22
1/1/2020,138,69
1/2/2020,156,60
1/3/2020,152,42
1/4/2020,117,39
1/5/2020,81,45
1/6/2020,113,51
1/7/2020,125,50
1/8/2020,135,49
1/9/2020,129,45
1/10/2020,113,45
1/11/2020,113, 
1/13/2020,112,85
1/14/2020,145,46
1/15/2020,114,49
1/16/2020,121,21
1/17/2020,67,54
1/18/2020,95,71
1/19/2020,133,56
1/20/2020,68,77
1/21/2020,141,64
1/22/2020,87,65
1/23/2020,136,56
1/24/2020,117,44
1/25/2020,99,62
1/26/2020,148,65
1/27/2020,134,73
1/28/2020,145,50
1/29/2020,101, 
1/31/2020,131,66
2/1/2020,113,55
2/2/2020,135,63
2/3/2020,118,64
2/4/2020,136,52
2/5/2020,116,55
2/6/2020,108, 
2/8/2020,124,72
2/9/2020,151,68
2/10/2020,98,57
2/11/2020,119, 
2/13/2020,137,67
2/14/2020,121,75
2/15/2020,148,80
2/16/2020,154,74
2/17/2020,143,68
2/18/2020,157,63
2/19/2020,156, 
10/3/2019,54,19
10/4/2019,53, 
10/15/2019,78,31
10/16/2019,62,33
10/17/2019,68,37
10/18/2019,76,40
10/19/2019,80,46
10/20/2019,99,52
10/21/2019,93,46
10/22/2019,83,61
10/23/2019,112,51
10/24/2019,101,53
10/25/2019,113,45
10/26/2019,86,36
10/27/2019,81,43
10/28/2019,93, 
10/31/2019,72,46
11/1/2019,98,45
11/2/2019,108, 
11/4/2019,75,44
11/5/2019,89,53
11/6/2019,108,47
11/7/2019,92,52
11/8/2019,102,35
11/9/2019,84,32
11/10/2019,67,32
11/11/2019,71,43
11/12/2019,90,44
11/13/2019,83,28
11/14/2019,57,46
11/15/2019,80,38
11/16/2019,87,38
11/17/2019,84,52
11/18/2019,109,57
11/19/2019,130,64
11/20/2019,136,62
11/21/2019,136,59
11/22/2019,123,57
11/23/2019,123,50
11/24/2019,129,53
11/25/2019,135,57
11/26/2019,134,74
11/27/2019,143,56
11/28/2019,108,60
11/29/2019,111, 
12/1/2019,103,49
12/2/2019,104,50
12/3/2019,110,54
12/4/2019,121,61
12/5/2019,128,63
12/6/2019,121,56
12/7/2019,102,53
12/8/2019,103,51
12/9/2019,101,50
12/10/2019,102,44
12/11/2019,99,56
12/12/2019,119,23
12/13/2019,77,30
12/14/2019,77,35
12/15/2019,87,31
12/16/2019,75,43
12/17/2019,105,51
12/18/2019,100, 
12/20/2019,85,57
12/21/2019,138,68
12/22/2019,119,23
12/23/2019,59,44
12/24/2019,105,43
12/25/2019,92,47
12/26/2019,105,42
12/27/2019,117,56
12/28/2019,133,58
12/29/2019,137, 
7/1/2019,72,32
7/2/2019,53, 
7/5/2019,39,15
7/6/2019,30,12
7/7/2019,30,14
7/8/2019,36,9
7/9/2019,29,9
7/10/2019,31,4
7/11/2019,15,5
7/12/2019,19,10
7/13/2019,31,19
7/14/2019,52,29
7/15/2019,65, 
4/1/2019,50, 
4/2/2019,53, 
4/3/2019,58, 
4/4/2019,62, 
4/7/2019,38, 
4/8/2019,41, 
4/9/2019,39, 
4/10/2019,37, 
4/11/2019,35, 
4/12/2019,45, 
4/13/2019,40, 
4/14/2019,35, 
4/15/2019,35, 
4/16/2019,35, 
4/17/2019,23, 
4/18/2019,35, 
4/19/2019,43, 
4/20/2019,77, 
4/21/2019,104, 
4/22/2019,109, 
4/23/2019,98, 
4/24/2019,87, 
4/25/2019,83, 
4/26/2019,80, 
4/27/2019,82, 
4/28/2019,76, 
4/29/2019,77, 
4/30/2019,79, 
5/1/2019,79, 
5/2/2019,65, 
5/3/2019,69, 
5/4/2019,49, 
5/5/2019,59, 
5/6/2019,81, 
5/7/2019,94, 
5/8/2019,99, 
5/9/2019,93, 
5/10/2019,85, 
5/11/2019,75, 
5/12/2019,55, 
6/8/2019,64,51
6/9/2019,72,54
6/10/2019,86,52
6/11/2019,79,53
6/12/2019,76,53
6/13/2019,77,66
6/14/2019,83,59
6/15/2019,82,62
6/16/2019,89,56
6/17/2019,88,35
6/18/2019,66,45
6/19/2019,78,59
6/20/2019,64,34
6/21/2019,58,16
6/22/2019,46,21
6/23/2019,50,27
6/24/2019,51,23
6/25/2019,52,45
6/26/2019,68,26
6/27/2019,53,39
6/28/2019,73,37
6/29/2019,70,40
6/30/2019,73,42
2/8/2019,67, 
2/9/2019,56, 
2/10/2019,104, 
2/11/2019,105, 
2/12/2019,120, 
2/13/2019,113, 
2/14/2019,142, 
2/15/2019,122, 
2/16/2019,76, 
2/17/2019,69, 
2/18/2019,81, 
2/19/2019,84, 
2/20/2019,93, 
2/21/2019,100, 
2/22/2019,109, 
2/23/2019,94, 
2/24/2019,102, 
2/25/2019,74, 
2/26/2019,75, 
2/27/2019,64, 
2/28/2019,47, 
3/1/2019,77, 
3/2/2019,92, 
3/3/2019,97, 
3/4/2019,92, 
3/5/2019,76, 
3/6/2019,72, 
3/7/2019,72, 
3/8/2019,91, 
3/11/2019,75, 
3/12/2019,88, 
3/13/2019,94, 
3/14/2019,88, 
3/15/2019,74, 
3/16/2019,74, 
3/17/2019,87, 
3/18/2019,83, 
3/19/2019,90, 
3/20/2019,77, 
3/21/2019,68, 
3/22/2019,76, 
3/23/2019,98, 
3/24/2019,133, 
3/25/2019,131, 
3/26/2019,52, 
3/27/2019,47, 
3/28/2019,62, 
3/29/2019,78, 
3/30/2019,78, 
3/31/2019,57, 
10/1/2018,83,47
10/2/2018,84,46
10/3/2018,83,46
10/4/2018,85,48
10/5/2018,88,48
10/6/2018,87,49
10/7/2018,83, 
10/9/2018,91, 
10/12/2018,68,35
10/13/2018,61,39
10/14/2018,69,46
10/15/2018,86,46
10/16/2018,94,47
10/17/2018,100, 
10/23/2018,96, 
10/30/2018,64, 
11/10/2018,84, 
11/12/2018,135, 
11/18/2018,131,62
11/19/2018,146,63
11/20/2018,153,60
11/21/2018,153,53
11/22/2018,152, 
8/20/2018,58,24
8/21/2018,44,23
8/22/2018,39,15
8/23/2018,34,14
8/24/2018,31,12
8/25/2018,35,28
8/26/2018,50,15
8/27/2018,32,14
8/28/2018,38,20
8/29/2018,44,16
8/30/2018,40,16
8/31/2018,38,19
9/1/2018,42,13
9/2/2018,32,27
9/3/2018,48,28
9/4/2018,50,39
9/5/2018,61,26
9/6/2018,54,24
9/7/2018,39,23
9/8/2018,43,32
9/9/2018,57,22
9/10/2018,47,30
9/11/2018,56,27
9/12/2018,55,26
9/13/2018,51,35
9/14/2018,67,34
9/15/2018,62,32
9/16/2018,64,38
9/17/2018,67,35
9/18/2018,62,39
9/19/2018,65,39
9/20/2018,67,22
9/21/2018,49,20
9/22/2018,45,30
9/23/2018,52,37
9/24/2018,64,43
9/25/2018,74,36
9/26/2018,69,37
9/27/2018,67,42
9/28/2018,72,42
9/29/2018,76,45
9/30/2018,79,50
4/8/2017,68,47
4/10/2017,137,72
4/11/2017,157,83
4/12/2017,168, 
4/16/2017,107, 
4/17/2017,100,41
4/18/2017,110,47
4/19/2017,123,45
4/20/2017,121,34
4/21/2017,95,34
4/22/2017,93,28
4/23/2017,73,32
4/24/2017,84,45
4/25/2017,105,49
4/26/2017,108,54
4/27/2017,117,58
4/28/2017,136,47
4/29/2017,155,44
5/9/2017,65,35
5/10/2017,86,37
5/11/2017,93,36
5/12/2017,94,24
5/13/2017,67,23
5/14/2017,70,27
5/15/2017,79,33
5/16/2017,89,18
5/17/2017,61, 
5/18/2017,80, 
5/19/2017,78,52
5/20/2017,97,40
5/21/2017,95,30
5/22/2017,78,36
5/23/2017,88,36
5/24/2017,86,40
5/25/2017,96,48
5/26/2017,111, 
6/1/2017,62, 
6/2/2017,81, 
1/2/2017,134,47
1/3/2017,118,66
1/4/2017,149,63
1/5/2017,145,53
1/6/2017,129,58
1/7/2017,140,61
1/8/2017,144,71
1/9/2017,156,65
1/10/2017,149,80
1/11/2017,152, 
1/13/2017,140,66
1/14/2017,155,66
1/15/2017,157,71
1/16/2017,156,63
1/17/2017,147,71
1/18/2017,157,65
1/19/2017,144,71
1/20/2017,151,70
1/21/2017,155,68
1/22/2017,156,66
1/23/2017,157,68
1/24/2017,157,67
1/25/2017,153,67
1/26/2017,149,49
1/27/2017,123,34
1/28/2017,93,56
1/29/2017,138,55
1/30/2017,152,47
1/31/2017,126,49
2/1/2017,125,68
2/2/2017,156,62
2/3/2017,150,68
2/4/2017,157, 
2/7/2017,136,63
2/8/2017,148,61
2/9/2017,142,46
2/10/2017,115,60
2/11/2017,142,61
2/12/2017,143,62
2/13/2017,143,61
2/14/2017,144,67
2/15/2017,158,67
2/16/2017,157,68
2/17/2017,157,64
2/18/2017,153,67
2/19/2017,158,69
2/20/2017,158,62
2/21/2017,141,70
2/22/2017,150,63
2/23/2017,138,61
2/24/2017,138,64
2/25/2017,160, 
12/3/2016,127,59
12/4/2016,134,58
12/5/2016,132,61
12/6/2016,141,58
12/7/2016,133,45
