"Time (NPT)","PM2.5"
"2024-04-30 00:00:00",37.427
"2024-04-30 01:00:00",35.4
"2024-04-30 02:00:00",28.268
"2024-04-30 03:00:00",31.398
"2024-04-30 04:00:00",43.53
"2024-04-30 05:00:00",44.855
"2024-04-30 06:00:00",61.395
"2024-04-30 07:00:00",56.737
"2024-04-30 08:00:00",48.157
"2024-04-30 09:00:00",42.553
"2024-04-30 10:00:00",32.792
"2024-04-30 11:00:00",22.847
"2024-04-30 12:00:00",31.96
"2024-04-30 13:00:00",36.208
"2024-04-30 14:00:00",29.728
"2024-04-30 15:00:00",24.625
"2024-04-30 16:00:00",22.658
"2024-04-30 17:00:00",23.237
"2024-04-30 18:00:00",24.263
"2024-04-30 19:00:00",27.138
"2024-04-30 20:00:00",32.913
"2024-04-30 21:00:00",36.218
"2024-04-30 22:00:00",34.628
"2024-04-30 23:00:00",33.982
"2024-05-01 00:00:00",39.66
"2024-05-01 01:00:00",45.848
"2024-05-01 02:00:00",40.87
"2024-05-01 03:00:00",43.52
"2024-05-01 04:00:00",51.145
"2024-05-01 05:00:00",50.125
"2024-05-01 06:00:00",57.758
"2024-05-01 07:00:00",60.873
"2024-05-01 08:00:00",60.745
"2024-05-01 09:00:00",54.527
"2024-05-01 10:00:00",39.657
"2024-05-01 11:00:00",27.843
"2024-05-01 12:00:00",23.778
"2024-05-01 13:00:00",22.837
"2024-05-01 14:00:00",24.952
"2024-05-01 15:00:00",22.542
"2024-05-01 16:00:00",23.283
"2024-05-01 17:00:00",19.917
"2024-05-01 18:00:00",21.242
"2024-05-01 19:00:00",24.81
"2024-05-01 20:00:00",38.348
"2024-05-01 21:00:00",26.375
"2024-05-01 22:00:00",28.248
"2024-05-01 23:00:00",38.577
"2024-05-02 00:00:00",33.915
"2024-05-02 01:00:00",36.03
"2024-05-02 02:00:00",30.062
"2024-05-02 03:00:00",33.048
"2024-05-02 04:00:00",44.965
"2024-05-02 05:00:00",48.887
"2024-05-02 06:00:00",63.842
"2024-05-02 07:00:00",66.582
"2024-05-02 08:00:00",48.843
"2024-05-02 09:00:00",44.343
"2024-05-02 10:00:00",19.228
"2024-05-02 11:00:00",12.658
"2024-05-02 12:00:00",22.445
"2024-05-02 13:00:00",19.207
"2024-05-02 14:00:00",24.418
"2024-05-02 15:00:00",23.982
"2024-05-02 16:00:00",23.097
"2024-05-02 17:00:00",25.5
"2024-05-02 18:00:00",30.598
"2024-05-02 19:00:00",35.357
"2024-05-02 20:00:00",36.42
"2024-05-02 21:00:00",50.673
"2024-05-02 22:00:00",53.353
"2024-05-02 23:00:00",58.64
"2024-05-03 00:00:00",61.105
"2024-05-03 01:00:00",65.85
"2024-05-03 02:00:00",67.572
"2024-05-03 03:00:00",60.34
"2024-05-03 04:00:00",60.975
