latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
23.69439,96.20164,324.29,1.16,1.07,2024-05-08,0330,T,77,6.1NRT,298.72,12.75,D
22.3766,96.92047,333.13,1.06,1.03,2024-05-08,0330,T,84,6.1NRT,306.6,18.37,D
20.09312,97.56567,334.48,1,1,2024-05-08,0330,T,84,6.1NRT,299.33,27.72,D
19.76351,99.53304,319.09,1.07,1.03,2024-05-08,0330,T,61,6.1NRT,297.66,10.54,D
19.7589,99.20027,318.61,1.05,1.02,2024-05-08,0330,T,70,6.1NRT,298.43,8.12,D
19.65327,99.40693,315.47,1.07,1.03,2024-05-08,0330,T,40,6.1NRT,299.3,7.12,D
19.64426,99.40515,315.91,1.07,1.03,2024-05-08,0330,T,35,6.1NRT,299.78,7.86,D
19.5472,98.20872,321.39,1,1,2024-05-08,0330,T,58,6.1NRT,301.24,6.97,D
19.23579,99.41731,311.98,1.08,1.04,2024-05-08,0330,T,52,6.1NRT,295.81,7.46,D
19.21639,94.07859,326.99,1.35,1.15,2024-05-08,0330,T,39,6.1NRT,303.2,16.06,D
18.93084,95.83592,326.03,1.09,1.04,2024-05-08,0330,T,72,6.1NRT,304.15,10.47,D
18.92393,95.82835,324.85,1.09,1.04,2024-05-08,0330,T,65,6.1NRT,303.89,10.77,D
18.48782,97.93713,322.62,1,1,2024-05-08,0330,T,73,6.1NRT,305.84,9.49,D
18.6776,96.21207,320.28,1.05,1.02,2024-05-08,0330,T,57,6.1NRT,302.3,7.92,D
17.70852,97.33568,316.73,1,1,2024-05-08,0330,T,47,6.1NRT,301.99,6.23,D
17.7166,96.16483,323.11,1.04,1.02,2024-05-08,0330,T,63,6.1NRT,303.01,8.94,D
17.71528,96.17437,323.17,1.04,1.02,2024-05-08,0330,T,63,6.1NRT,303.07,8.72,D
17.25471,98.58569,322.1,1.05,1.02,2024-05-08,0330,T,44,6.1NRT,302.61,10.18,D
17.65279,95.75469,326.09,1.07,1.03,2024-05-08,0330,T,55,6.1NRT,301.75,10.23,D
17.65147,95.7645,324.28,1.07,1.03,2024-05-08,0330,T,49,6.1NRT,303.29,7.75,D
17.60622,95.76131,327.14,1.07,1.03,2024-05-08,0330,T,34,6.1NRT,306.22,9.32,D
